DDI-DrugBank.d103.s4.p19	steroids	None	group	beta2-agonists	None	True	effect	group	Corticosteroids, Methylxanthines and Diuretics: Concomitant treatment with xanthine derivatives, steroids, or diuretics may potentiate a possible hypokalemic effect of  beta2-agonists.
DDI-DrugBank.d105.s0.p4	Anticoagulants	None	group	ardeparin	DB00407	True	effect	drug	Anticoagulants including coumarin derivatives, indandione derivatives, and platelet aggregation inhibitors such as nonsteroidal anti-inflammatory drugs (NSAIDs), and aspirin may increase the risk of bleeding when administered concomitantly with ardeparin.
DDI-DrugBank.d106.s3.p0	phenytoin	DB00252	drug	SULAR	None	True	mechanism	brand	Coadministration of phenytoin with 40 mg SULAR tablets in epileptic patients lowered the nisoldipine plasma concentrations to undetectable levels.
DDI-DrugBank.d107.s3.p1	enalapril	DB00584	drug	antihypertensive agents	None	True	effect	group	Agents Causing Renin Release: The antihypertensive effect of enalapril and enalapril IV is augmented by antihypertensive agents that cause renin release (e.g., diuretics).
DDI-DrugBank.d107.s4.p2	nonsteroidal anti-inflammatory drugs	None	group	enalapril	DB00584	True	effect	drug	Non-steroidal Anti-inflammatory Agents: In some patients with compromised renal function who are being treated with nonsteroidal anti-inflammatory drugs, the co-administration of enalapril may result in a further deterioration of renal function.
DDI-DrugBank.d108.s0.p0	Isocarboxazid	DB01247	drug	Antabuse	None	True	advise	brand	Isocarboxazid should be administered with caution to patients receiving Antabuse (disulfiram, Wyeth-Ayerst Laboratories).
DDI-DrugBank.d11.s0.p4	STRATTERA	None	brand	albuterol	None	True	advise	drug	Drug-Drug Interactions Albuterol - STRATTERA should be administered with caution to patients being treated with systemically-administered (oral or intravenous) albuterol (or other beta2 agonists) because the action of albuterol on the cardiovascular system can be potentiated resulting in increases in heart rate and blood pressure.
DDI-DrugBank.d110.s0.p9	norepinephrine	DB00368	drug	monoamine oxidase inhibitors	None	True	effect	group	The administration of local anesthetic solutions containing epinephrine or norepinephrine to patients receiving monoamine oxidase inhibitors, tricyclic antidepressants or phenothiazines may produce severe, prolonged hypotension or hypertension.
DDI-DrugBank.d114.s11.p2	interleukin-2	None	drug	radiographic iodinated contrast media	None	True	effect	group	Delayed Adverse Reactions to Iodinated Contrast Media: A review of the literature revealed that 12.6% (range 11-28%) of 501 patients treated with various interleukin-2 containing regimens who were subsequently administered radiographic iodinated contrast media experienced acute, atypical adverse reactions.
DDI-DrugBank.d103.s3.p10	FORADIL	None	brand	tricyclic antidepressants	None	True	advise	group	Monoamine Oxidase Inhibitors and Tricyclic Antidepressants: FORADIL should be administered with extreme caution in patients being treated with monoamine oxidase inhibitors or tricyclic antidepressants because the action of formoterol on the cardiovascular system may be potentiated by these agents.
DDI-DrugBank.d104.s0.p2	Fenfluramine	DB00574	drug	methyldopa	DB00968	True	effect	drug	Fenfluramine may increase slightly the effect of antihypertensive drugs, e.g., guanethidine, methyldopa, reserpine.
DDI-DrugBank.d104.s0.p3	Fenfluramine	DB00574	drug	reserpine	DB00206	True	effect	drug	Fenfluramine may increase slightly the effect of antihypertensive drugs, e.g., guanethidine, methyldopa, reserpine.
DDI-DrugBank.d106.s8.p0	Quinidine	DB00908	drug	nisoldipine	DB00401	True	mechanism	drug	Quinidine at 648 mg bid decreased the bioavailability (AUC) of nisoldipine by 26%, but not the peak concentration.
DDI-DrugBank.d107.s12.p2	enalapril	DB00584	drug	thiazide-type diuretics	None	True	effect	group	Agents Increasing Serum Potassium: Enalapril and enalapril IV attenuate potassium loss caused by thiazide-type diuretics.
DDI-DrugBank.d11.s3.p1	STRATTERA	None	brand	fluoxetine	DB00472	True	advise	drug	Dosage adjustment of STRATTERA may be necessary when coadministered with CYP2D6 inhibitors, e.g., paroxetine, fluoxetine, and quinidine.
DDI-DrugBank.d113.s1.p0	meclofenamate sodium	None	drug	warfarin	DB00682	True	advise	drug	Therefore, when meclofenamate sodium is given to a patient receiving warfarin, the dosage of warfarin should be reduced to prevent excessive prolongation of the prothrombin time.
DDI-DrugBank.d114.s10.p0	glucocorticoids	None	group	PROLEUKIN	None	True	effect	brand	Although glucocorticoids have been shown to reduce PROLEUKIN-induced side effects including fever, renal insufficiency, hyperbilirubinemia, confusion, and dyspnea, concomitant administration of these agents with PROLEUKIN may reduce the antitumor effectiveness of PROLEUKIN and thus should be avoided. 12 Beta-blockers and other antihypertensives may potentiate the hypotension seen with PROLEUKIN.
DDI-DrugBank.d114.s2.p20	asparaginase	DB00023	drug	PROLEUKIN	None	True	effect	brand	Concurrent administration of drugs possessing nephrotoxic (e.g., aminoglycosides, indomethacin), myelotoxic (e.g., cytotoxic chemotherapy), cardiotoxic (e.g., doxorubicin) or hepatotoxic (e.g., methotrexate, asparaginase) effects with PROLEUKIN may increase toxicity in these organ systems.
DDI-DrugBank.d103.s4.p20	diuretics	None	group	beta2-agonists	None	True	effect	group	Corticosteroids, Methylxanthines and Diuretics: Concomitant treatment with xanthine derivatives, steroids, or diuretics may potentiate a possible hypokalemic effect of  beta2-agonists.
DDI-DrugBank.d104.s0.p1	Fenfluramine	DB00574	drug	guanethidine	DB01170	True	effect	drug	Fenfluramine may increase slightly the effect of antihypertensive drugs, e.g., guanethidine, methyldopa, reserpine.
DDI-DrugBank.d106.s4.p0	SULAR	None	brand	phenytoin	DB00252	True	advise	drug	Coadministration of SULAR with phenytoin or any known CYP3A4 inducer should be avoided and alternative antihypertensive therapy should be considered.
DDI-DrugBank.d107.s1.p4	enalaprilat	None	drug	diuretic	None	True	effect	drug	The possibility of hypotensive effects with enalapril or enalaprilat can be minimized by either discontinuing the diuretic or increasing the salt intake prior to initiation of treatment with enalapril or enalaprilat.
DDI-DrugBank.d107.s16.p5	lithium	DB01356	drug	ACE inhibitors	None	True	effect	group	Lithium: Lithium toxicity has been reported in patients receiving lithium concomitantly with drugs which cause elimination of sodium, including ACE inhibitors.
DDI-DrugBank.d107.s9.p0	NSAIDs	None	group	ACE inhibitors	None	True	advise	group	This interaction should be given consideration in patients taking NSAIDs concomitantly with ACE inhibitors.
DDI-DrugBank.d108.s0.p1	Isocarboxazid	DB01247	drug	disulfiram	DB00822	True	advise	drug	Isocarboxazid should be administered with caution to patients receiving Antabuse (disulfiram, Wyeth-Ayerst Laboratories).
DDI-DrugBank.d11.s4.p3	fluoxetine	DB00472	drug	atomoxetine	DB00289	True	mechanism	drug	In EM individuals treated with paroxetine or fluoxetine, the AUC of atomoxetine is approximately 6- to 8-fold and Css,max is about 3- to 4-fold greater than atomoxetine alone.
DDI-DrugBank.d110.s0.p10	norepinephrine	DB00368	drug	tricyclic antidepressants	None	True	effect	group	The administration of local anesthetic solutions containing epinephrine or norepinephrine to patients receiving monoamine oxidase inhibitors, tricyclic antidepressants or phenothiazines may produce severe, prolonged hypotension or hypertension.
DDI-DrugBank.d110.s0.p3	anesthetic solutions	None	group	tricyclic antidepressants	None	True	effect	group	The administration of local anesthetic solutions containing epinephrine or norepinephrine to patients receiving monoamine oxidase inhibitors, tricyclic antidepressants or phenothiazines may produce severe, prolonged hypotension or hypertension.
DDI-DrugBank.d114.s2.p14	cytotoxic	None	group	PROLEUKIN	None	True	effect	brand	Concurrent administration of drugs possessing nephrotoxic (e.g., aminoglycosides, indomethacin), myelotoxic (e.g., cytotoxic chemotherapy), cardiotoxic (e.g., doxorubicin) or hepatotoxic (e.g., methotrexate, asparaginase) effects with PROLEUKIN may increase toxicity in these organ systems.
