DDI-MedLine.d78.s1.p0	fluoroquinolones	group	_	antibiotics	group	_	false	the druga are a rapidly growing class of drugb with a broad spectrum of activity against gram-negative and some gram-positive aerobic bacteria .
DDI-MedLine.d80.s1.p1	progestin-only oral contraceptives	group	_	norgestrel	drug	_	false	in order to provide information for the appropriate package insert labeling of druga -lcb- drugn -rcb- in the us , a comprehensive review was made of drugb -lcb- # mg -rcb- and drugn -lcb- # mg -rcb- , with the clinical differences indicated where applicable .
DDI-MedLine.d80.s1.p2	progestin-only oral contraceptives	group	_	norethindrone	drug	_	false	in order to provide information for the appropriate package insert labeling of druga -lcb- drugn -rcb- in the us , a comprehensive review was made of drugn -lcb- # mg -rcb- and drugb -lcb- # mg -rcb- , with the clinical differences indicated where applicable .
DDI-MedLine.d80.s1.p3	POC	group	_	norgestrel	drug	_	false	in order to provide information for the appropriate package insert labeling of drugn -lcb- druga -rcb- in the us , a comprehensive review was made of drugb -lcb- # mg -rcb- and drugn -lcb- # mg -rcb- , with the clinical differences indicated where applicable .
DDI-MedLine.d80.s1.p4	POC	group	_	norethindrone	drug	_	false	in order to provide information for the appropriate package insert labeling of drugn -lcb- druga -rcb- in the us , a comprehensive review was made of drugn -lcb- # mg -rcb- and drugb -lcb- # mg -rcb- , with the clinical differences indicated where applicable .
DDI-MedLine.d80.s1.p5	norgestrel	drug	_	norethindrone	drug	_	false	in order to provide information for the appropriate package insert labeling of drugn -lcb- drugn -rcb- in the us , a comprehensive review was made of druga -lcb- # mg -rcb- and drugb -lcb- # mg -rcb- , with the clinical differences indicated where applicable .
DDI-MedLine.d84.s0.p0	Ganoderma lucidum extract	drug_n	_	antibiotics	group	_	false	antimicrobial activity of druga alone and in combination with some drugb .
DDI-MedLine.d84.s3.p0	GL	drug_n	_	antibiotics	group	_	false	to investigate the effects of antimicrobial combinations of druga with four kinds of drugb -lcb- drugn , drugn , drugn and drugn -rcb- , the fractional inhibitory concentration index -lcb- fici -rcb- was determined by checkerboard assay for each strain .
DDI-MedLine.d84.s3.p1	GL	drug_n	_	ampicillin	drug	_	false	to investigate the effects of antimicrobial combinations of druga with four kinds of drugn -lcb- drugb , drugn , drugn and drugn -rcb- , the fractional inhibitory concentration index -lcb- fici -rcb- was determined by checkerboard assay for each strain .
DDI-MedLine.d84.s3.p2	GL	drug_n	_	cefazolin	drug	_	false	to investigate the effects of antimicrobial combinations of druga with four kinds of drugn -lcb- drugn , drugb , drugn and drugn -rcb- , the fractional inhibitory concentration index -lcb- fici -rcb- was determined by checkerboard assay for each strain .
DDI-MedLine.d84.s3.p3	GL	drug_n	_	oxytetracycline	drug	_	false	to investigate the effects of antimicrobial combinations of druga with four kinds of drugn -lcb- drugn , drugn , drugb and drugn -rcb- , the fractional inhibitory concentration index -lcb- fici -rcb- was determined by checkerboard assay for each strain .
